VW-ЭМБЛЕМА З;0.2
АБСОРБЕР БАМПЕРА 3;0.6000000000000001
БАГАЖНАЯ КРЫШКА;0.8
БОКОВИНА ВНУ Л Н;0.5
БОКОВИНА ВНУ ПР Н;0.5
БОКОВИНА З ВНУ Л;4.5
БОКОВИНА З ВНУ ПР;4.5
БУКСИРН КРЮК З;0.7
ВОДОСТОЧН КАНАЛ З ПР;1.1
ВОДОСТОЧН КАНАЛ ЗЛ;1.1
ВОЗ РЕШЕТКА З Л;0.1
ВОЗ РЕШЕТКА З ПР;0.1
ГАБ ФОНАРЬ З Л В СБ;0.2
ГАБ ФОНАРЬ З ПР В СБ;0.2
ДЕРЖ АРКИ КОЛЕСА;0.9
ДЕРЖ ПАНЕЛЬ ПОЛА З Л;0.5
ДЕРЖ ПАНЕЛЬ ПОЛА З ПР;0.5
ДОПОЛН СТОП-СИГНАЛ;0.2
ЗАГЛУШ ЛОНЖЕРОН З Л;0.9
ЗАГЛУШ ЛОНЖЕРОН З ПР;0.9
ЗАДН СТЕНКА ВЕР;2.9
ЗАМОК КРЫШКИ БАГАЖ;0.30000000000000004
КОЖУХ К/АРК З НАР ПР;2.5
КОЖУХ К/АРКИ З НАР Л;2.5
КРЕП ПЛАНК БАМПЕР ЗД;0.2
КРЕПЛ АМ СТОЙКИ З Л;0.7
КРЕПЛ АМ СТОЙКИ З ПР;0.7
КРП ЗАЛ ГОРЛ Т/БАКА;0.9
ЛОНЖЕРОН З ПР В СБ;3.7
ЛОНЖЕРОНЗЛ;0.9
ЛОНЖЕРОНЗЛ В;3.7
ЛЮЧОК Т/БАКА;0.2
МОЛД Л БАМПЕР З;0.2
МОЛДИНГ БАМПЕРА З;0.2
МОЛДИНГ ПР БАМПЕРЗ;0.2
НАСТИЛ БАГАЖНИКА;0.2
ОБЛ АРКИ КОЛЕСА З Л;0.2
ОБЛ АРКИ КОЛЕСА З ПР;0.2
ОБЛ ЩИТКА ЗАДКА;0.2
ОБЛИЦ КРЫШК БАГАЖН;0.2
ОБЛИЦ Л БАГАЖНИКА;0.5
ОБЛИЦ С-СТОЙКИ Л;0.4
ОБЛИЦ С-СТОЙКИ ПР;0.4
ОБЛИЦОВКА БАМПЕРА З;0.8
ОТРАЖАТЕЛЬ Л;0.2
ОТРАЖАТЕЛЬ ПР;0.2
ПАН КРЕП ФОНАРЯ З Л;1.1
ПАН КРЕП ФОНАРЯ З ПР;1.1
ПАНЕЛЬ КРЕПЛ З Л;0.9
ПАНЕЛЬ КРЕПЛ З ПР;0.9
ПОДКРЫЛОК ВНУ ПР;1.6
ПОДКРЫЛОК ВНУЛ;1.6
ПОДКРЫЛОК З ПР;0.4
ПОДКРЫЛОКЗЛ;0.4
ПОЛ БАГАЖНИКА З;5.7
ПОЛ БАГАЖНИКА П;2.9
ПОПЕР ЗАДНИЙ ОТСЕК;1.3
ПОПЕР ПОЛ БАГАЖНИКА;1.9
ПОПЕРЕЧ Л ПАН ПОЛА;1.0
ПОПЕРЕЧ ПР ПАН ПОЛА;1.0
СОЕДИНИТ БОК Ч ВНУ Л;0.8
СОЕДИНИТ БОК Ч ВНУ ПР;0.8
СОЕДИНИТ ПАНЕЛЬ З ПР;1.1
СОЕДИНИТ ПАНЕЛЬЗЛ;1.1
ТОПЛИВНЫЙ БАК;3.6999999999999997
УДЛИН ЛОНЖЕР З Л;0.9
УДЛИН ЛОНЖЕР З ПР;0.9
УПЛ К-ЦО КРЫШКИ БАГ;0.3
УСИЛ РАМА КРЫШ Л ВНУ;0.5
УСИЛ РАМА КРЫШ ПР ВНУ;0.5
УСИЛ С-СТ ВНУТР Л В;1.3
УСИЛ С-СТ ВНУТР ПР В;1.3
УСИЛИТ БОК Ч ПР ВНУ;0.7
УСИЛИТ БОК ЧСТ Л ВНУ;0.7
УСИЛИТ З ПАНЕЛЬ ПОЛА;1.9
ФОНАРЬ НОМЕР ЗНАК Л;0.2
ФОНАРЬ НОМЕР ЗНАК ПР;0.2
ШАРНИР Л КРЫШКИ БАГ;1.3000000000000003
ШАРНИР ПР КРЫШКИ БАГ;1.3000000000000003
ЩИТОК ЗАДКА;7.0
